iter	Passed	Remaining
0	177	177074
1	247	123645
2	312	103985
3	376	93761
4	441	87822
5	505	83824
6	566	80431
7	627	77823
8	686	75567
9	747	74025
10	809	72770
11	884	72809
12	986	74872
13	1054	74243
14	1166	76613
15	1248	76800
16	1312	75913
17	1379	75269
18	1447	74732
19	1515	74260
20	1591	74174
21	1667	74146
22	1747	74239
23	1814	73777
24	1890	73716
25	1964	73602
26	2034	73330
27	2115	73445
28	2188	73284
29	2251	72784
30	2312	72271
31	2380	72004
32	2458	72043
33	2515	71461
34	2584	71257
35	2646	70878
36	2714	70660
37	2784	70491
38	2847	70158
39	2918	70038
40	2990	69956
41	3068	69990
42	3136	69810
43	3193	69380
44	3248	68950
45	3307	68597
46	3376	68456
47	3444	68306
48	3516	68240
49	3587	68157
50	3656	68041
51	3727	67961
52	3798	67865
53	3855	67544
54	3935	67611
55	4007	67556
56	4075	67417
57	4134	67153
58	4206	67086
59	4272	66930
60	4333	66714
61	4400	66580
62	4460	66337
63	4522	66137
64	4587	65989
65	4656	65889
66	4719	65717
67	4780	65514
68	4849	65428
69	4915	65312
70	5009	65542
71	5087	65569
72	5150	65408
73	5220	65324
74	5290	65253
75	5358	65146
76	5429	65082
77	5495	64963
78	5561	64834
79	5642	64886
80	5742	65150
81	5826	65228
82	5915	65357
83	5994	65369
84	6064	65278
85	6136	65218
86	6210	65179
87	6293	65227
88	6371	65213
89	6451	65232
90	6534	65270
91	6601	65150
92	6666	65018
93	6740	64967
94	6809	64872
95	6906	65035
96	6973	64918
97	7034	64747
98	7116	64768
99	7188	64695
100	7263	64656
101	7342	64644
102	7413	64558
103	7495	64573
104	7570	64525
105	7648	64509
106	7717	64410
107	7788	64326
108	7860	64251
109	7930	64164
110	8004	64107
111	8084	64102
112	8157	64031
113	8228	63953
114	8303	63897
115	8366	63759
116	8444	63729
117	8521	63694
118	8594	63628
119	8677	63631
120	8763	63664
121	8829	63542
122	8909	63521
123	8983	63465
124	9051	63361
125	9120	63262
126	9183	63124
127	9253	63042
128	9322	62947
129	9388	62832
130	9453	62709
131	9524	62627
132	9603	62600
133	9675	62530
134	9742	62421
135	9817	62371
136	9896	62337
137	9966	62256
138	10036	62166
139	10100	62047
140	10172	61974
141	10257	61977
142	10334	61934
143	10406	61863
144	10480	61798
145	10539	61648
146	10610	61570
147	10681	61493
148	10749	61397
149	10823	61331
150	10894	61256
151	10962	61161
